RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-09-30,2022-11-30,2023-08-31
395229,167,"Wilmington, NC",msa,NC,2022-08-31,0.6,0.7,3.9
394937,168,"Olympia, WA",msa,WA,2022-08-31,-0.8,-2.0,2.7
394660,169,"Hagerstown, MD",msa,MD,2022-08-31,0.3,-0.1,1.8
753875,170,"Crestview, FL",msa,FL,2022-08-31,0.2,0.4,4.5
394543,171,"Duluth, MN",msa,MN,2022-08-31,0.3,0.1,1.2
395179,172,"Utica, NY",msa,NY,2022-08-31,0.4,0.3,2.5
394803,173,"Longview, TX",msa,TX,2022-08-31,0.6,0.1,-1.1
395061,174,"San Luis Obispo, CA",msa,CA,2022-08-31,-0.3,-1.3,-0.2
394851,175,"Merced, CA",msa,CA,2022-08-31,-0.9,-2.8,0.1
394772,176,"Laredo, TX",msa,TX,2022-08-31,-0.3,-1.2,-2.5
395197,177,"Waco, TX",msa,TX,2022-08-31,-0.1,-0.4,3.7
394447,178,"Cedar Rapids, IA",msa,IA,2022-08-31,0.1,-0.6,-0.7
395103,179,"Sioux Falls, SD",msa,SD,2022-08-31,0.4,0.3,1.9
394412,180,"Bremerton, WA",msa,WA,2022-08-31,-0.1,-0.3,3.2
395065,181,"Santa Cruz, CA",msa,CA,2022-08-31,-1.7,-3.9,-2.4
394572,182,"Erie, PA",msa,PA,2022-08-31,0.5,0.6,1.4
394483,183,"College Station, TX",msa,TX,2022-08-31,0.5,0.2,0.1
394732,184,"Kalamazoo, MI",msa,MI,2022-08-31,0.2,-0.6,1.8
394323,185,"Amarillo, TX",msa,TX,2022-08-31,0.2,-0.1,1.0
394924,186,"Norwich, CT",msa,CT,2022-08-31,0.1,0.1,1.0
394811,187,"Lynchburg, VA",msa,VA,2022-08-31,0.3,0.1,1.5
394348,188,"Atlantic City, NJ",msa,NJ,2022-08-31,0.4,0.8,4.2
394455,189,"Charleston, WV",msa,WV,2022-08-31,0.4,-0.6,-3.2
395171,190,"Tuscaloosa, AL",msa,AL,2022-08-31,0.4,0.1,1.0
395240,191,"Yakima, WA",msa,WA,2022-08-31,0.0,0.5,4.8
394609,192,"Fort Smith, AR",msa,AR,2022-08-31,0.0,-0.9,-0.6
394585,193,"Fargo, ND",msa,ND,2022-08-31,-0.1,-1.2,-2.8
845160,194,"Prescott Valley, AZ",msa,AZ,2022-08-31,-0.4,-1.5,2.7
394334,195,"Appleton, WI",msa,WI,2022-08-31,-0.1,-0.3,1.9
394387,196,"Binghamton, NY",msa,NY,2022-08-31,0.1,-0.2,0.6
395174,197,"Tyler, TX",msa,TX,2022-08-31,0.7,0.8,2.7
753895,198,"Lafayette, IN",msa,IN,2022-08-31,-0.1,-0.5,1.9
394378,199,"Bellingham, WA",msa,WA,2022-08-31,0.1,-0.1,4.2
395161,200,"Topeka, KS",msa,KS,2022-08-31,0.2,-0.3,0.8
394813,201,"Macon, GA",msa,GA,2022-08-31,0.6,0.8,3.9
394519,202,"Daphne, AL",msa,AL,2022-08-31,1.0,1.5,6.2
394681,203,"Hilton Head Island, SC",msa,SC,2022-08-31,0.0,-0.3,2.9
394454,204,"Champaign, IL",msa,IL,2022-08-31,0.1,-0.5,-1.4
395030,205,"Rochester, MN",msa,MN,2022-08-31,0.1,-0.4,0.4
394848,206,"Medford, OR",msa,OR,2022-08-31,-0.7,-1.9,-1.0
394773,207,"Las Cruces, NM",msa,NM,2022-08-31,1.0,1.1,2.7
394429,208,"Burlington, VT",msa,VT,2022-08-31,0.6,0.4,1.5
394459,209,"Charlottesville, VA",msa,VA,2022-08-31,0.3,-0.3,-0.2
395247,210,"Yuma, AZ",msa,AZ,2022-08-31,0.1,0.1,4.6
845164,211,"Lebanon, NH",msa,NH,2022-08-31,0.3,0.0,2.8
394765,212,"Lake Havasu City, AZ",msa,AZ,2022-08-31,-0.2,-0.8,4.4
394346,213,"Athens, GA",msa,GA,2022-08-31,0.8,0.9,4.7
394361,214,"Barnstable Town, MA",msa,MA,2022-08-31,0.3,0.5,3.8
394464,215,"Chico, CA",msa,CA,2022-08-31,-0.5,-2.3,-1.2
394763,216,"Lake Charles, LA",msa,LA,2022-08-31,-0.9,-3.1,-6.1
394485,217,"Columbia, MO",msa,MO,2022-08-31,0.2,-0.2,0.6
394691,218,"Houma, LA",msa,LA,2022-08-31,-0.1,-1.1,-3.1
394623,219,"Gainesville, GA",msa,GA,2022-08-31,0.3,0.5,4.6
394565,220,"Elkhart, IN",msa,IN,2022-08-31,0.2,-0.1,2.6
395114,221,"Springfield, IL",msa,IL,2022-08-31,0.5,-0.3,-1.7
394726,222,"Johnson City, TN",msa,TN,2022-08-31,0.6,-0.2,1.4
394597,223,"Florence, SC",msa,SC,2022-08-31,0.7,0.7,1.4
394716,224,"Jacksonville, NC",msa,NC,2022-08-31,0.8,1.0,3.8
394680,225,"Hilo, HI",msa,HI,2022-08-31,0.1,-0.2,2.7
395118,226,"St. Cloud, MN",msa,MN,2022-08-31,-0.3,-0.7,0.9
394380,227,"Bend, OR",msa,OR,2022-08-31,-1.1,-1.6,2.6
394872,228,"Monroe, LA",msa,LA,2022-08-31,0.4,-0.2,-1.9
395011,229,"Racine, WI",msa,WI,2022-08-31,-0.8,-1.6,0.5
395009,230,"Punta Gorda, FL",msa,FL,2022-08-31,-0.7,-1.2,3.8
395047,231,"Saginaw, MI",msa,MI,2022-08-31,0.3,0.5,3.5
395202,232,"Warner Robins, GA",msa,GA,2022-08-31,0.8,0.8,2.9
395151,233,"Terre Haute, IN",msa,IN,2022-08-31,0.3,0.0,0.9
